YEAR,cluster_name,weighted_count,count,percent,rel_percent
1900,Adult child + parents,869021,8665,5.371272680253454,1
1900,Extended,440982,4397,2.7256355934822385,1
1900,Grandfamily,267456,2667,1.6531005648538617,1
1900,Nuclear family,9390155,93630,58.03896915591841,1
1900,Roommates,906461,9039,5.602683024938668,1
1900,Single person,4304977,42926,26.60833898055337,1
1910,Adult child + parents,1130994,11277,5.555333974107586,1.034267724766758
1910,Extended,596503,5948,2.9299654830680777,1.07496596026059
1910,Grandfamily,303562,3027,1.4910674078271386,0.9019822747195981
1910,Nuclear family,11486223,114528,56.41922491726389,0.9720921259937755
1910,Roommates,1119454,11163,5.49865060172789,0.9814316778679593
1910,Single person,5721968,57055,28.105757616005423,1.056276291298996
1920,Adult child + parents,1384343.97,13695,5.68826076468726,1.0590154518870654
1920,Extended,707694.61,7008,2.9079127519467955,1.0668751020497504
1920,Grandfamily,343652.91,3411,1.4120676703085593,0.8541934473498832
1920,Nuclear family,13668464.23,135341,56.16363452866433,0.9676883539710002
1920,Roommates,965215.37,9562,3.9660639534870055,0.7078865493252533
1920,Single person,7267487.35,71856,29.862060330906044,1.1222820166539011
1930,Adult child + parents,1703509.4500000002,16875,5.728941369527103,1.0665891885527532
1930,Extended,811825.5,8042,2.7301877848620237,1.0016701393945218
1930,Grandfamily,449021.75,4448,1.5100704486214949,0.9134776677999557
1930,Nuclear family,15914189.599999981,157647,53.51978479599151,0.922135344137723
1930,Roommates,1052559.65,10427,3.539782255261317,0.6318012708384599
1930,Single person,9804046.49999999,97120,32.97123334573655,1.2391315884029246
1940,Adult child + parents,1895371,19321,5.4852949794775805,1.021228171796846
1940,Extended,805383,8407,2.3308171996176963,0.8551463024592634
1940,Grandfamily,542692,5991,1.5705767910359751,0.950079398935308
1940,Nuclear family,17266419,176013,49.96984835911086,0.8609706389662037
1940,Roommates,867401,8856,2.5103002792032973,0.4480532394978346
1940,Single person,13176409,131766,38.133162391554585,1.4331282542448103
1950,Adult child + parents,2403282,31236,5.482541397911842,1.020715522052613
1950,Extended,784397,12691,1.78942339055419,0.6565160048662428
1950,Grandfamily,678876,13834,1.548701223597064,0.9368463459051405
1950,Nuclear family,20592390,267618,46.97685525749613,0.8094019576966549
1950,Roommates,815521,11516,1.8604257192316436,0.3320597847407242
1950,Single person,18560716,106823,42.342053011209124,1.5913076363825152
1960,Adult child + parents,2292051,23008,4.341348796373622,0.8082532864760028
1960,Extended,685999,6886,1.2993432227134163,0.4767120101529755
1960,Grandfamily,612996,6154,1.1610690367630758,0.7023583812432592
1960,Nuclear family,25182085,252789,47.69711250095581,0.8218118480502336
1960,Roommates,431837,4335,0.8179377510271787,0.14599036700566023
1960,Single person,23590859,236812,44.6831886921669,1.679292673053492
1970,Adult child + parents,2075900,20759,3.2718956473495737,0.6091471876633869
1970,Extended,542600,5426,0.8552100670802442,0.3137653724236989
1970,Grandfamily,542300,5423,0.8547372270136683,0.5170509557530937
1970,Nuclear family,28050500,280505,44.211334291622535,0.7617525764947907
1970,Roommates,502900,5029,0.7926375649367025,0.14147464016945335
1970,Single person,31732200,317322,50.01418520199727,1.8796432666672653
1980,Adult child + parents,1825800,18258,2.2691597844932048,0.4224622207015061
1980,Extended,651500,6515,0.809704019935,0.2970697997455089
1980,Grandfamily,558000,5580,0.6934993754777129,0.41951432975223746
1980,Nuclear family,30001100,300011,37.286279773556295,0.6424352519664643
1980,Roommates,895200,8952,1.112581793777148,0.1985801782511741
1980,Single person,46529900,465299,57.828775252760636,2.1733327771802906
1990,Adult child + parents,1701074,17059,1.8548737910887105,0.3453322706754081
1990,Extended,832743,8107,0.9080340804765613,0.33314581107170976
1990,Grandfamily,906612,9420,0.9885818238868608,0.5980167479854765
1990,Nuclear family,30240333,313274,32.974462672108935,0.5681434930990057
1990,Roommates,1409649,13600,1.5371000819096696,0.27435071287590757
1990,Single person,56617931,557322,61.736947550529266,2.3202105022658324
2000,Adult child + parents,2371684,23109,2.2485532040601353,0.4186257778955346
2000,Extended,1073914,10269,1.01815957167356,0.37354941141371434
2000,Grandfamily,1175004,12254,1.1140012788311913,0.6738859707120551
2000,Nuclear family,31302619,315582,29.67747990369866,0.5113371297820916
2000,Roommates,1800648,17469,1.7071636987830054,0.30470467295473913
2000,Single person,67752132,676072,64.23464234295344,2.414079375262738
2006,Adult child + parents,2644961,26956,2.369704915961275,0.441181272489308
2006,Extended,1234422,10436,1.1059580393702397,0.40576151926357895
2006,Grandfamily,1178245,12410,1.05562727341038,0.6385741411344205
2006,Nuclear family,30552396,316239,27.372865987663182,0.4716290862114991
2006,Roommates,1802736,14918,1.615128677277421,0.2882777180304791
2006,Single person,74202867,782369,66.4807151063175,2.498491738056432
2011,Adult child + parents,2792371,28455,2.428347207757392,0.4520990372886461
2011,Extended,1210163,11095,1.0524016837237276,0.3861123938358877
2011,Grandfamily,1433549,16058,1.2466662600827045,0.7541381852911732
2011,Nuclear family,29990298,299984,26.08065203660692,0.4493644945095893
2011,Roommates,1843674,15559,1.6033258510115251,0.28617107979780393
2011,Single person,77720544,833666,67.58860696081773,2.54012875475672
2016,Adult child + parents,3253991,31901,2.737744441332759,0.5097012578411069
2016,Extended,1155642,10649,0.9722990818569174,0.35672379836173185
2016,Grandfamily,1547337,16522,1.3018515633935397,0.7875210928311712
2016,Nuclear family,29959773,298764,25.20664685131006,0.4343055574194268
2016,Roommates,2112645,19214,1.77747329518104,0.31725394552380515
2016,Single person,80827250,855063,68.00398476692568,2.5557395678334602
2021,Adult child + parents,4109641,37694,3.222216127441673,0.5998980724414883
2021,Extended,1316600,11315,1.0322969216507492,0.37873621995517726
2021,Grandfamily,1485578,15353,1.1647862648276446,0.70460702124956
2021,Nuclear family,31266810,298109,24.515138776271353,0.42239100957173825
2021,Roommates,2132657,18351,1.6721367583449203,0.2984528574795154
2021,Single person,87229538,900143,68.39342515146366,2.570375595464595
2023,Adult child + parents,4244808,39684,3.232270548210571,0.6017699604217542
2023,Extended,1435217,12188,1.0928667773409613,0.40095850668897676
2023,Grandfamily,1526205,15954,1.1621509081286394,0.7030128310623235
2023,Nuclear family,31380719,308511,23.895303110381406,0.4117113632081925
2023,Roommates,2279101,19183,1.7354544749013996,0.3097541779851801
2023,Single person,90459838,947451,68.88195418103702,2.588735592679393
